repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
castorflex/SmoothProgressBar,48,4.854,3.0,5.002,0,22,2.0,4.25,1.229,1.0,0.472,1,3,1.0,1.0,26.312,0.0,95.339,0,595,0.0,3.5
ant-media/Ant-Media-Server,1189,5.717,2.0,9.457,0,96,1.0,7.0,1.325,1.0,0.727,1,6,1.0,1.0,183.491,1.0,2599.012,0,86012,0.0,15.0
Flipboard/bottomsheet,68,4.897,3.0,5.908,0,32,2.0,5.25,1.368,1.0,0.667,1,4,1.0,2.0,27.662,0.0,176.516,0,1453,0.0,0.25
tiann/epic,149,3.228,3.0,5.288,0,61,1.0,4.0,1.624,1.0,0.826,1,3,1.0,2.0,30.396,1.0,219.899,0,2624,0.0,3.0
azkaban/azkaban,1283,6.472,4.0,8.118,0,92,1.5,8.0,1.352,1.0,0.797,1,6,1.0,1.0,35.84,1.0,172.518,0,2548,0.0,10.0
phishman3579/java-algorithms-implementation,439,3.711,3.0,3.663,0,47,2.0,4.0,1.583,1.0,2.173,1,41,1.0,2.0,7.05,0.0,24.608,0,272,0.0,3.0
HotBitmapGG/bilibili-android-client,559,4.921,3.0,6.314,0,48,1.0,6.0,1.818,1.0,1.171,1,6,1.0,3.0,42.791,3.0,173.103,0,3080,0.0,20.0
zongzibinbin/MallChat,444,6.236,5.0,6.557,0,62,2.0,8.0,1.203,1.0,0.465,1,4,1.0,1.0,4.439,0.0,14.947,0,153,0.0,1.0
JakeWharton/NineOldAndroids,138,4.29,2.0,4.358,0,19,2.0,6.0,1.435,1.0,0.714,1,4,1.0,2.0,30.145,0.0,108.072,0,788,0.0,3.0
Meituan-Dianping/Robust,42,3.524,2.0,3.624,0,13,1.0,6.0,1.262,1.0,0.544,1,3,1.0,1.0,17.357,3.5,35.649,0,136,0.0,14.5
h2database/h2database,1674,6.017,4.0,10.482,0,258,2.0,7.0,2.058,2.0,1.535,1,35,1.0,3.0,176.35,3.0,1600.458,0,46881,0.0,25.75
linhaojun857/aurora,299,7.288,6.0,6.592,0,41,4.0,8.0,1.117,1.0,0.361,1,4,1.0,1.0,7.258,0.0,80.09,0,1378,0.0,0.0
janishar/android-mvp-architecture,146,5.815,3.0,6.531,0,38,2.0,7.0,1.384,1.0,0.807,1,5,1.0,1.0,14.11,0.0,36.024,0,264,0.0,8.0
